"Supplementary Table S12. Read-level sensitivity of the best model (Embed + LSTM + Attention) on fixed-length reads simulated based on error profiles of different sequencing platforms using 3,269 MAGs excluded from training",,,,,
MAG_ID_ENA,75bp (GenomeAnalyzer II),100bp (HiSeq 2000),125bp (HiSeq 2500),150bp (HiSeq 2500),250bp (MiSeq v3)
MAG-GUT12458,0.013,0.162,0.406,0.511,0.503
MAG-GUT1246,0.051,0.397,0.682,0.721,0.637
MAG-GUT12481,0.057,0.470,0.809,0.874,0.855
MAG-GUT12482,0.013,0.199,0.504,0.639,0.762
MAG-GUT1248,0.018,0.216,0.537,0.637,0.696
MAG-GUT1249,0.020,0.164,0.362,0.477,0.602
MAG-GUT12518,0.017,0.182,0.403,0.490,0.517
MAG-GUT1252,0.051,0.403,0.668,0.723,0.638
MAG-GUT12533,0.019,0.145,0.274,0.320,0.360
MAG-GUT1255,0.023,0.254,0.579,0.676,0.713
MAG-GUT12567,0.041,0.327,0.616,0.707,0.703
MAG-GUT1258,0.019,0.159,0.368,0.476,0.614
MAG-GUT12636,0.007,0.150,0.415,0.537,0.638
MAG-GUT1263,0.053,0.401,0.681,0.724,0.631
MAG-GUT12643,0.060,0.310,0.560,0.644,0.623
MAG-GUT12644,0.010,0.161,0.416,0.542,0.635
MAG-GUT12655,0.017,0.165,0.380,0.466,0.539
MAG-GUT1265,0.021,0.162,0.356,0.480,0.610
MAG-GUT1266,0.024,0.255,0.570,0.680,0.705
MAG-GUT12678,0.019,0.222,0.520,0.652,0.763
MAG-GUT12691,0.020,0.158,0.314,0.361,0.402
MAG-GUT1270,0.009,0.180,0.506,0.642,0.724
MAG-GUT12744,0.023,0.218,0.458,0.537,0.533
MAG-GUT1274,0.018,0.161,0.361,0.471,0.608
MAG-GUT12750,0.019,0.217,0.482,0.570,0.587
MAG-GUT12759,0.036,0.223,0.440,0.509,0.467
MAG-GUT1276,0.008,0.178,0.498,0.640,0.729
MAG-GUT12771,0.018,0.183,0.425,0.527,0.630
MAG-GUT12789,0.075,0.494,0.818,0.873,0.840
MAG-GUT12794,0.012,0.187,0.491,0.635,0.756
MAG-GUT12797,0.054,0.316,0.571,0.674,0.717
MAG-GUT1282,0.017,0.161,0.358,0.471,0.609
MAG-GUT1287,0.021,0.161,0.367,0.477,0.603
MAG-GUT1288,0.008,0.183,0.505,0.645,0.724
MAG-GUT12944,0.014,0.257,0.635,0.755,0.846
MAG-GUT12945,0.014,0.132,0.319,0.416,0.512
MAG-GUT12963,0.023,0.236,0.514,0.614,0.609
MAG-GUT1297,0.007,0.183,0.512,0.646,0.719
MAG-GUT12991,0.032,0.357,0.693,0.746,0.591
MAG-GUT12,0.007,0.121,0.326,0.398,0.336
MAG-GUT13038,0.043,0.285,0.520,0.608,0.542
MAG-GUT13040,0.016,0.156,0.346,0.444,0.553
MAG-GUT13045,0.032,0.355,0.695,0.760,0.761
MAG-GUT13049,0.082,0.320,0.518,0.568,0.521
MAG-GUT13125,0.014,0.165,0.364,0.472,0.595
MAG-GUT13136,0.023,0.257,0.545,0.642,0.638
MAG-GUT13150,0.011,0.146,0.396,0.536,0.638
MAG-GUT1315,0.020,0.214,0.431,0.480,0.371
MAG-GUT13170,0.034,0.330,0.631,0.681,0.544
MAG-GUT13177,0.012,0.121,0.288,0.380,0.480
MAG-GUT1318,0.024,0.258,0.584,0.682,0.710
MAG-GUT1319,0.019,0.255,0.570,0.689,0.708
MAG-GUT13227,0.096,0.523,0.804,0.848,0.838
MAG-GUT13230,0.040,0.294,0.560,0.651,0.671
MAG-GUT13251,0.019,0.214,0.478,0.583,0.605
MAG-GUT13273,0.009,0.132,0.346,0.446,0.516
MAG-GUT13285,0.017,0.154,0.315,0.377,0.379
MAG-GUT1328,0.020,0.252,0.574,0.682,0.700
MAG-GUT13293,0.049,0.364,0.666,0.738,0.753
MAG-GUT13322,0.025,0.323,0.647,0.755,0.799
MAG-GUT13333,0.018,0.155,0.296,0.353,0.367
MAG-GUT13342,0.076,0.375,0.621,0.683,0.685
MAG-GUT13363,0.019,0.217,0.489,0.588,0.606
MAG-GUT1336,0.023,0.232,0.450,0.500,0.389
MAG-GUT13422,0.016,0.191,0.415,0.510,0.545
MAG-GUT13424,0.019,0.164,0.328,0.385,0.400
MAG-GUT13441,0.019,0.178,0.405,0.499,0.603
MAG-GUT13451,0.009,0.138,0.387,0.523,0.619
MAG-GUT13478,0.017,0.178,0.413,0.493,0.531
MAG-GUT13480,0.015,0.265,0.628,0.757,0.847
MAG-GUT13549,0.070,0.481,0.799,0.857,0.820
MAG-GUT1355,0.043,0.224,0.391,0.421,0.365
MAG-GUT1362,0.022,0.242,0.568,0.677,0.691
MAG-GUT13633,0.015,0.177,0.399,0.491,0.593
MAG-GUT13637,0.037,0.397,0.748,0.803,0.645
MAG-GUT13646,0.017,0.149,0.269,0.317,0.362
MAG-GUT1368,0.022,0.252,0.567,0.680,0.704
MAG-GUT13704,0.018,0.219,0.473,0.577,0.589
MAG-GUT1370,0.021,0.203,0.428,0.480,0.356
MAG-GUT13734,0.013,0.130,0.318,0.407,0.508
MAG-GUT13749,0.080,0.401,0.659,0.733,0.737
MAG-GUT1377,0.020,0.143,0.363,0.451,0.542
MAG-GUT13790,0.019,0.233,0.535,0.672,0.767
MAG-GUT13816,0.012,0.188,0.502,0.646,0.769
MAG-GUT13830,0.005,0.111,0.327,0.419,0.609
MAG-GUT1384,0.022,0.158,0.348,0.452,0.533
MAG-GUT13851,0.019,0.209,0.457,0.562,0.617
MAG-GUT13856,0.034,0.417,0.805,0.883,0.893
MAG-GUT13881,0.039,0.366,0.706,0.771,0.619
MAG-GUT13897,0.025,0.257,0.577,0.683,0.671
MAG-GUT1389,0.012,0.158,0.390,0.499,0.612
MAG-GUT1391,0.020,0.207,0.437,0.475,0.371
MAG-GUT1393,0.022,0.206,0.431,0.485,0.372
MAG-GUT13955,0.014,0.251,0.575,0.672,0.754
MAG-GUT1396,0.021,0.253,0.552,0.661,0.684
MAG-GUT13987,0.021,0.217,0.487,0.579,0.597
MAG-GUT13999,0.005,0.116,0.318,0.418,0.624
MAG-GUT14027,0.030,0.338,0.680,0.776,0.818
MAG-GUT14050,0.031,0.299,0.567,0.622,0.502
MAG-GUT14072,0.012,0.115,0.269,0.330,0.297
MAG-GUT14112,0.076,0.503,0.826,0.881,0.849
MAG-GUT14114,0.018,0.180,0.399,0.514,0.611
MAG-GUT14116,0.019,0.149,0.297,0.348,0.376
MAG-GUT14125,0.037,0.399,0.742,0.798,0.642
MAG-GUT14159,0.027,0.312,0.639,0.753,0.792
MAG-GUT14172,0.006,0.113,0.314,0.465,0.632
MAG-GUT14250,0.031,0.332,0.620,0.671,0.540
MAG-GUT14257,0.011,0.186,0.462,0.567,0.606
MAG-GUT14283,0.017,0.177,0.420,0.506,0.546
MAG-GUT14308,0.026,0.278,0.600,0.710,0.725
MAG-GUT14364,0.012,0.146,0.383,0.530,0.637
MAG-GUT14383,0.011,0.138,0.328,0.425,0.534
MAG-GUT14468,0.038,0.288,0.560,0.647,0.656
MAG-GUT14477,0.014,0.161,0.371,0.481,0.517
MAG-GUT14523,0.018,0.184,0.404,0.493,0.600
MAG-GUT14532,0.032,0.330,0.618,0.676,0.538
MAG-GUT1453,0.032,0.285,0.590,0.707,0.765
MAG-GUT1455,0.020,0.258,0.608,0.722,0.762
MAG-GUT14572,0.011,0.198,0.511,0.643,0.770
MAG-GUT1457,0.022,0.206,0.424,0.469,0.368
MAG-GUT14640,0.019,0.204,0.466,0.571,0.635
MAG-GUT14645,0.035,0.402,0.794,0.877,0.880
MAG-GUT14683,0.017,0.181,0.413,0.513,0.590
MAG-GUT14705,0.011,0.141,0.379,0.501,0.608
